appid,support,title,version
TA-ccure,not_supported,ccure add-on,1.0.0
TA-cmdReporter,developer,cmdReporter macOS security audit and log parsing Add-on,1.3.0
19dc84f6-5504-11e8-9949-0a7170990f9a,not_supported,collectd2 App for Splunk Enterprise,Not Specified
dt_devicebasedlicensing,developer,deviceTRUST Device Based Licensing,0.9.0
dt_statusreport,developer,deviceTRUST Status Report,0.9.0
dnslookup,not_supported,dnslookup,0.1
dpod,not_supported,dpod,1.0.0
dvvy,developer,dvvy Chargeback,1.0.0
srtms,not_supported,fatstacks sRTMS,2
fingerstatus_command,not_supported,fingerstatus command,1.0.1
fping,not_supported,fping,0.2.0
394ea310-9605-11eb-8a40-02c65895b235,developer,gotsecuritytxt,Not Specified
TA-hibp-api,not_supported,have i been pwned checker (v3 API),1
httpstatus_command,not_supported,httpstatus command,1.0.2
ip2decimal,not_supported,ip2decimal command,1.0.1
sonar_addon_for_splunk,developer,jSonar Add-On for Splunk,3.1.2
macmon-monitor,developer,macmon Monitor,1
threat-news,developer,mispdb4splunk,1.0.0
mpdns,not_supported,mnemonic passive DNS,1.0.0
atf,developer,mnemonics Argus Threat Feed for Splunk,1.0.0
monobankAddonForSplunk,developer,monobankAddonForSplunk,1
SA_mvstats,developer,mvstats for Splunk,1.0.0
neo4s,not_supported,neo4s,1.0.0
rswaf1,not_supported,new rswaf splunk app,1.0.2
TA-os-ticket-add-on-for-splunk,developer,osTicket Addon - Support Ticket System,1.0.0
splunk_app_osquery,not_supported,osquery App for Splunk,0.5
TA_owncloud,developer,ownCloud Add-on for Splunk,1.0.0
owncloud_app,developer,ownCloud App for Splunk,1.0.1
TA-papercut,not_supported,papercut add-on,1.0.0
TA_pfsense_ifstat,developer,pfSense ifstat metrics,0.1.0
pointerset,developer,pointerset,1.4.1
59f2cefe-8c13-11e5-9700-02aca93e6027,not_supported,quandl,Not Specified
rqst,developer,rqst,1.0.0
TA-sflow-analyzer-for-splunk,developer,sFlow Analyzer for Splunk,1.0.0
signalfx-forwarder-app,not_supported,signalfx-forwarder,2.1.0
slackalert,not_supported,slackalert,1.2.9
snmp-ma,developer,snmp-ma,0.01
c2ca48de-c68e-11e5-8059-0257c05b5c19,not_supported,socrata,Not Specified
TA_sudo,not_supported,sudo technology add-on,0.1.2
ttriage_alert,not_supported,t-Triage Alerts,1.0.0
tlabSandbox,developer,tLab Sandbox App for Splunk,1.0.0
traceroute_command,not_supported,traceroute command,1.0.1
uberAgent,developer,uberAgent,6.1.1
uberAgent_ESA,developer,uberAgent ESA,6.1.1
uberAgent_helpdesk,developer,uberAgent Helpdesk,1.2.1
uberAgent_logcollector,developer,uberAgent Log Collector,1.1.0
uberAgent_logcollector_SA,developer,uberAgent Log Collector SA,1.0.1
uberAgent_logcollector_TA,developer,uberAgent Log Collector TA,1.1.0
uberAgent_indexer,developer,uberAgent indexer app,6.1.1
whois_addon,not_supported,whois add on,2
xmatters_alert_action,not_supported,xMatters,1.4.0
xmatters_itsi,not_supported,xMatters for Splunk ITSI,1.4.0
xmlutils,not_supported,xmlutils,1.2
zstd_decompress,not_supported,zstd decompression,1
omni,developer,Ömni,0.1.0
